game_pk,date,sp_fip_diff,sp_whip_diff,sp_k_rate_diff,sp_last5_fip_diff,bullpen_score_diff,ops_14d_diff,ops_vs_hand_diff,rpg_14d_diff,home_field,park_factor,home_won
823649,2026-03-26,1.3599999999999994,0.37,-0.0769999999999999,1.4900000000000002,11.400000000000006,0.0,-0.0889999999999999,0.0,1,97,1
823812,2026-03-26,-3.93,-1.78,0.174,-7.66,-12.200000000000005,0.0,0.032,0.0,1,99,1
824704,2026-03-26,-1.0700000000000005,-0.0999999999999998,0.067,0.5,14.299999999999995,0.0,-0.061,0.0,1,100,0
824865,2026-03-26,1.5699999999999998,0.4499999999999999,-0.111,1.5099999999999998,34.2,0.0,0.058,0.0,1,100,1
824541,2026-03-26,0.4900000000000002,-0.06,-0.099,-2.12,-16.6,0.0,0.003,0.0,1,106,0
824218,2026-03-26,-2.28,-0.1999999999999999,0.139,-3.17,4.399999999999999,0.0,0.019,0.0,1,100,0
823325,2026-03-26,-1.21,0.1499999999999999,0.1019999999999999,0.1299999999999999,3.700000000000003,0.0,-0.0809999999999999,0.0,1,95,0
823081,2026-03-26,1.95,0.62,-0.061,2.77,0.8000000000000043,0.0,0.036,0.0,1,99,1
823486,2026-03-26,-2.51,-0.0799999999999998,0.0609999999999999,-3.0000000000000004,23.700000000000003,0.0,-0.021,0.0,1,102,1
823974,2026-03-26,-1.6599999999999997,-0.6900000000000001,0.1,-4.3100000000000005,1.7999999999999972,0.0,0.141,0.0,1,98,1
823163,2026-03-26,-0.6699999999999999,-0.0999999999999998,0.047,-0.7299999999999995,12.0,0.0,0.0659999999999999,0.0,1,92,0
823243,2026-03-27,2.94,0.4799999999999998,-0.067,3.63,-15.000000000000009,-0.41,-0.063,-7.0,1,95,0
822839,2026-03-27,-1.2699999999999996,-0.4399999999999999,0.006,-0.7999999999999998,17.299999999999997,0.0,-0.025,0.0,1,101,1
823893,2026-03-27,-1.4699999999999998,-0.48,0.0,-1.96,27.8,0.0,-0.039,0.0,1,96,1
824946,2026-03-27,-3.3600000000000003,-0.3699999999999999,-0.01,-3.28,42.5,0.0,0.0579999999999999,0.0,1,101,1
824216,2026-03-27,2.01,0.0,-0.046,2.1,0.1000000000000014,-0.372,0.034,-3.0,1,100,0
823324,2026-03-27,-0.1600000000000001,-0.1900000000000001,0.042,0.25,7.0,-0.313,-0.0809999999999999,-6.0,1,95,0
823162,2026-03-27,-0.3999999999999999,0.2099999999999999,-0.0759999999999999,2.03,8.399999999999991,-0.0849999999999999,0.0659999999999999,-2.0,1,92,1
823971,2026-03-27,-1.12,-0.04,0.093,-0.25,5.299999999999997,0.4229999999999999,0.141,6.0,1,98,1
823082,2026-03-28,1.3100000000000005,0.02,-0.0769999999999999,0.8700000000000001,-13.700000000000005,0.0449999999999999,-0.011,2.0,1,99,1
824701,2026-03-28,-0.6799999999999997,-0.43,0.01,-4.03,15.799999999999995,-0.274,-0.004,-6.0,1,100,1
822838,2026-03-28,-3.12,-0.1400000000000001,0.1669999999999999,-4.8100000000000005,18.700000000000003,0.194,-0.0969999999999999,1.0,1,101,1
824862,2026-03-28,0.5,0.2299999999999999,-0.031,-0.8199999999999994,19.0,-0.063,0.028,1.0,1,100,0
823488,2026-03-28,2.09,0.87,-0.0619999999999999,3.66,11.900000000000006,0.269,-0.0169999999999999,2.0,1,102,0
824540,2026-03-28,2.5,0.3900000000000001,-0.0279999999999999,2.4,-21.3,-0.358,0.0149999999999999,-3.0,1,106,1
823651,2026-03-28,-0.1299999999999999,0.3199999999999998,0.018,-0.6800000000000006,5.699999999999996,0.1899999999999999,-0.013,4.0,1,97,1
823892,2026-03-28,-0.1799999999999997,-0.5900000000000001,0.097,-0.8700000000000001,21.5,0.174,-0.05,1.0,1,96,1
824213,2026-03-28,5.69,1.3099999999999998,-0.2099999999999999,7.59,17.5,-0.37,0.034,-3.5,1,100,1
823811,2026-03-28,-0.1299999999999994,0.04,-0.043,-0.8999999999999995,8.599999999999994,0.5450000000000002,0.032,12.0,1,99,1
824945,2026-03-28,0.9400000000000004,0.31,0.0169999999999999,-0.4199999999999999,43.900000000000006,0.6100000000000001,0.048,6.0,1,101,1
823241,2026-03-28,1.5499999999999998,0.25,-0.0149999999999999,1.5599999999999996,-22.7,-0.485,-0.017,-5.0,1,95,0
823323,2026-03-28,0.3799999999999999,-0.25,-0.07,2.9,-22.0,-0.1529999999999999,-0.0629999999999999,-4.5,1,95,1
823973,2026-03-28,-0.8300000000000001,-0.4,0.152,-0.2099999999999999,-19.1,0.141,0.0759999999999999,3.5,1,98,1
823161,2026-03-28,-1.5100000000000002,-0.4499999999999999,0.0249999999999999,-2.27,-0.5,0.07,-0.047,1.0,1,92,0
824864,2026-03-29,-0.9500000000000002,0.1699999999999999,0.0249999999999999,-3.29,19.599999999999994,-0.012,0.028,-1.0,1,100,1
823487,2026-03-29,-0.3800000000000003,0.0,0.007,0.0900000000000003,26.0,-0.041,-0.0309999999999999,0.5,1,102,0
824944,2026-03-29,1.7000000000000002,0.0499999999999998,0.005,1.2000000000000002,30.5,0.435,0.048,5.0,1,101,0
822837,2026-03-29,-5.809999999999999,-1.62,0.033,-7.72,5.299999999999997,0.244,-0.042,1.0,1,101,1
824538,2026-03-29,-0.91,0.1099999999999998,-0.041,0.9500000000000002,-22.8,-0.134,0.0589999999999999,-1.0,1,106,1
823647,2026-03-29,-0.1399999999999996,-0.32,0.09,1.92,2.200000000000003,0.083,-0.0889999999999999,3.0,1,97,0
823891,2026-03-29,-2.06,-0.3899999999999999,0.159,-1.7600000000000002,6.899999999999999,0.1859999999999999,-0.039,1.0,1,96,1
824215,2026-03-29,0.2599999999999998,-0.07,0.0769999999999999,-4.720000000000001,-2.5,-0.241,0.019,-1.67,1,100,1
823810,2026-03-29,0.3199999999999994,0.06,0.042,1.09,7.200000000000003,0.3139999999999999,-0.033,8.5,1,99,1
